Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
76,"(the Authority''s Architect), and his chief Architectural Assistant, Mr. W.",m,0,1,0,0
77,The project was finally completed in 1999 when architect P L Carlier designed the façade with artist Kijno commissioned to make the rose window and sculpture George Jeanclos made the stunning entrance doors.,u,0,0,1,0
78,The architect presented a spreadsheet as evidence of time spent - and this is where it boobed.,u,0,0,1,0
79,The hotel''s prime location makes it ideal for experiencing the city Alimara Hotel **** The Alimara Hotel is a modern hotel created by the architect Oscar Tusquets.,m,0,1,0,0
80,"As a result a number of artists were commissioned to undertake research residencies integrating creative activities within the feasibility stage. back to top Interior Design Collaboration In the spring of 1997 Ray Smith was selected as lead artist to undertake a pilot ''design only'' project working with the architect David Radford and interior designer Lee Cheong, on the integration of art and colour within key public interiors.",m,0,1,0,0
81,"The arch leading from the cloisters to the school is of brick tracery with a trefoil head, said to be unique in England for that and the step-gables surmounting the arch are more characteristic of Holland, and it has been suggested that a Flemish architect may have been employed.",u,0,0,1,0
82,"Henry Freeland, the Cathedral architect explained ""This refurbishment work needed to be done to avoid deterioration of the structure; the cost (is now) a great deal less than if we waited to do the repairs when we started work on the new Hostry building.",m,0,1,0,0
83,The American architect talks monuments and West Bromwich Albion Naoto Fukasawa The Japanese designer making a virtue of our misbehaviour Zaha Hadid The car factory that tries to make mass production sexy Konstantin Grcic The man who wasn''t there Walker Arts Centre Herzog & de Meuron bring Minneapolis up to date Review: Domino''s Pizza The cultural impact of the Double Decadence Review: Les Freres Corbusier - Boozy A musical about urban planning News: MARTa Art and Design Centre Frank Gehry''s German gallery extension News: Stefan Sagmeister A graphic designer that isn''t afraid to feature himself in his,u,0,0,1,0
84,"""Our MSUs enable the client to specify, say, the type of light fitting and the performance of the chilled beam, and we then operate as part of the design team alongside the architect, consultant or project manager.",u,0,0,1,0
85,""" Rauh -- an architect who moved to Weisswasser from the Ruhr and married a local girl -- is an optimist.",m,0,1,0,0
86,A Georgian developer could have an architect design the overall look and then lease individual plots to local builders.,u,0,0,1,0
87,The Mill demonstrates Brindley''s work both as an architect and a millwright.,u,0,0,1,0
88,"Good analytical drawings will assist the site engineer, architect, surveyor or landscape architect, and will identify historic features that need to be conserved.",u,0,0,1,0
89,"In 1899 a new terrace of shops was built along the road frontage and the building was given a new façade designed by local architect, Hans Price.",m,0,1,0,0
90,"A contractor also has a duty to warn the landlord that particular construction techniques will not work, even where the landlord has relied on other expert assistance such as an architect, structural engineer or building surveyor to draw up plans.",u,0,0,1,0
91,"The large number of individually owned purpose built houses and small plots of land would produce an environment containing a large amount of variety, but at the same time the area would be overseen by the county architect.",u,0,0,1,0
92,"It can be backed up by hand-outs and experts for buildings of special interest, for example a project architect of a certain building.",u,0,0,1,0
93,"""Buildings don''t just have to sit there like dumb lumps,"" said project architect Allan Bell.",m,0,1,0,0
94,"The largest church in the city is St Isaac''s Cathedral (1818â€""1858), one of the biggest domed buildings in the world, constructed for 40 years under supervision of its architect, Auguste de Montferrand.",m,0,1,0,0
95,"Graham Allen, the IVIP who was the architect of the Act, has said that the new design ""owes more to a greyhound stadium grandstand than the original Crystal Palace"".",d,0,0,0,1
96,"But the tower is a grand one, and very like the one at Walberswick . Mortlock suggests the architect was the same person, Richard Russell, and that it was probably begun in the Spring of 1436 or 1437.",m,0,1,0,0
97,"Angry Plays Become Hit Shows in Edinburgh Another cash crisis at Scottish Opera Another city author who can write for Toffee Another gallery show cleans up Another Magnus opus Another stir for Venetian caffe Apocalypse ... now reality, thanks to Creative Scotland Appeal for art nets paintings from Havana Appeal for Concorde souvenirs Appeal for Mackintosh buildings to join world heritage list Appointment of National Theatre of Scotland Board Architect asked to work Bilbao magic on Dundee skyline Architect backs plan for gallery at academy Architect explains river museum project Architect has new design on film centre for capital Architect slams MDF makeover at museum Architect to transform mines Architects in build-up to design prize Architects in screen test running Architect''s masterpiece saved at 11th hour Architectural clash breaks out behind the scenes at museum Architecture award open Architecture of arts venues is showcased Archive Live 2006 Archives of Demarco''s life farmed out for exhibition Are you ready to rock?",u,0,0,1,0
98,"The Architect was Charles Barry, then 31 years old, who also designed St. Matthew''s, Deansgate, Manchester and All Saint''s, Stand.",m,0,1,0,0
99,"Original Date of Building: 1930 Architect(s): William Edward Trent (1874-1948) Picture(s) of Building Front elevation November 2004 Category of Risk / Development History Condition: Good Category of Risk: Moderate Exemptions to Category of Risk: - Site Visit History: February 2004 November 2004 Reason for Risk / Development History: 3 February 2003: The Herald reports that the cinema is threatened with closure, following competition from new multiplexes.",m,0,1,0,0
100,"For more in-depth technical advice, many people find it useful to come here with their architect during the early stages of building design, to run through their plans with our consultants.",u,0,0,1,0
101,"In 1981 the theatre had a flood that damaged the heating system and through lack of funds, despite several fund raising efforts by Ken Dodd Liverpool''s famous comedian from Knotty Ash the theatre was scheduled for demolition until eventually it was listed as a Grade II listed building in 1990 and saved The Theatre Royal Palace of Varieties Breck rd Anfield was built in 1891: Architect W Redman.",u,0,0,1,0
102,Capitalism will inevitably be the architect of its own downfall.,d,0,0,0,1
103,"If the causes of deterioration are related to the building envelope, the internal environment, or the use of the building, what measures are being taken by the parish and/or its architect to address them?",u,0,0,1,0
104,Never let an architect design a building for you!,u,0,0,1,0
105,"The architect is briefed, or compiles a brief together with the parish members, and responds to that brief.",u,0,0,1,0
106,"""The architect is the agent of the employer.",u,0,0,1,0
107,"He did not neglect his mental faculties, and became a nuclear physicist, doctor, lawyer, architect, layout artist and accountant!",m,0,1,0,0
108,The building was designed by the London architect Henry Deusbury with the two statues representing commerce and agriculture (standing on the parapet either side of the clock tower) being executed by the noted sculptor John Bell who is perhaps best known for his Crimea Monument at the junction of Pall Mall and Waterloo Place in London.,m,0,1,0,0
109,San Francisco Design Resources Magazine Description San Francisco Bay Area Design Resources helps you find the perfect piece for your home ? or the perfect architect for your next home!,u,0,0,1,0
110,"Struys and the famous architect Pieter Post, who also designed the Royal residence, Huis ten Bosch, in The Hague.",m,0,1,0,0
111,I employed a conservation architect to lay out the elevations of the room and a succession of joiners to carry out the work.,u,0,0,1,0
112,"Detail of coat of arms on monument In December 1694, Duchess Anne was paying James Smith the architect £70 sterling ''for sending to Holand to buy marble towards the erecting of ane Monument upon His Grace the Duke of Hamiltone in Hamiltone Church'' and in October 1695 Mr Smith was able to report that he was ''pretty forward'' in ''sawing of the marble for the monument.",m,0,1,0,0
113,"(The architect was James Roberts, the contractor was C.",m,0,1,0,0
114,No tears shed Edinburgh-based architect Moray Royles is still waiting for a public inquiry verdict on whether a shed in his garden complies with strict local planning regulations and will be able to remain.,m,0,1,0,0
115,"He describes his work as emotive architecture , in which he refuses to idealise the intervention of the architect in urban spaces.",m,0,1,0,0
116,"Of course, any visit to the castle is not complete without a visit to the State Apartments and Queen Mary''s Dolls House - the latter being designed by the famous architect Edwin Lutyens which took over three years to complete.",m,0,1,0,0
117,The naval architect uses the waterline coefficient Cwl = (area enclosed by the waterline)/(B.,u,0,0,1,0
118,"On the second page, under the heading, "" Agreement "", the document declared that: ""The client wishes to appoint the architect to the project, and the architect has agreed to accept such appointment upon and subject to the terms set out in this letter of appointment and the attached copy of the RIBA form conditions of engagement for the appointment of an architect (CE/99) as completed.",u,0,0,1,0
119,The village of Portmeirion and its associated gardens were established in the 1920s by the architect Clough Williams Ellis.,m,0,1,0,0
