Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
134,"(vi) A builder bought a 12-acre site on Corstorphine Hill in Edinburgh in 1956, and has had planning permission since 1976 to build homes on it.",u,0,0,1,0
135,Your builder may prefer or require them for estimating and building.,u,0,0,1,0
136,"Too many home owners are tempted to deal with cowboys because they try to evade paying VAT - it''s a foolish mistake"" His advice to homeowners who plan to have work done on their house is: Get the builder to provide references, speak to former clients and look at his work if possible.",m,0,1,0,0
137,"The local established builder is the client''s guarantee for work, the person they recognise and see in the village shop, the person that they can identify with - that''s the best guarantee and that''s what the client is looking for.",u,0,0,1,0
138,"The original ""Fire Chief'' or as he would be called today ""Leader"" was a local builder Mr Ian MacCa l lum, a native of the village.",m,0,1,0,0
139,"[Saturday, 24th June] Mr. Peter Logan, the foreman builder, and his squad, twenty-one in number, landed this morning at three o''clock, and continued at work four hours and a quarter, and after laying seventeen stones returned to the tender.",m,0,1,0,0
140,"We were able to design a practice to our specifications with help from our Architects and helpful Builder (who was very patient with some of our unusual or exacting specifications), and we now have a wonderful set of treatment rooms and reception.",u,0,0,1,0
141,"To raise the profile of David Wilson Homes among stakeholders and change its reputation from that of a cautious, traditional house builder to a progressive and innovative builder of homes in tune with people of today.",m,0,1,0,0
142,"The inventor of the reaper and builder of the first American business which covered the world was not a man of extraordinary intellect, wit, or judgment.",m,0,1,0,0
143,"""By uniting together to offer this scheme, both the FMB and LABC believe that the public will soon be asking if a builder can offer a MasterBond warranty as a normal matter of course when they embark upon major renovation work.",u,0,0,1,0
144,Bob the builder was present recumbent in bright yellow safety hat and a scaffold appeared front of stage.,m,0,1,0,0
145,If our builder had received a waste transfer note in exchange for the windows he might be : still open to helping people,m,0,1,0,0
146,To accomplish the code generation the builder pattern ( Gamma et al . 1995 ) was implemented for the Prototype Generator module.,d,0,0,0,1
147,One of the children then presented a cheque for £50 to the safest builder of the month.,u,0,0,1,0
148,"His grandfather, Dogan Yousef Aga was a respected builder and his father a carpenter and stone mason.",m,0,1,0,0
149,"Alternatively, and perhaps more cost effective than using our bespoke web site design service netmotivated offers an online website builder siteZenTM which allows customers to instantly create and publish a web site themselves, in real time, without any previous web site design (html) experience.",d,0,0,0,1
150,"This crew was made up of two foundrymen, a boat builder, and a carpenter.",u,0,0,1,0
151,"She left him for Martin, a builder, taking everything but two wicker chairs.",m,0,1,0,0
152,Kelly works with a number of major national house builder clients and has recently been involved in a number of major house building projects for...,u,0,0,1,0
